probe_id	chromosome	position	VALUE
ID_581_RP11_318K19	13	95965731	-0.2128
ID_582_RP11_351K3	13	45559730	-0.1281
ID_583_RP11_424E21	13	65905666	-0.3311
ID_584_RP11_442J21	13	44739127	-0.0804
ID_585_RP11_480K16	13	112414760	0.0262
ID_586_RP11_282B13	4	126293699	-0.1764
ID_587_RP11_283I3	12	173448	0.1039
ID_588_RP11_296I10	16	70279009	-0.0651
ID_589_RP11_321B9	11	77896460	0.0932
ID_590_RP11_329I5	7	131457291	0.2232
ID_591_RP11_348A21	7	3543660	0.2109
ID_592_RP11_358A10	7	110659067	-0.0291
ID_593_RP11_362K14	3	169854280	0.1512
ID_594_RP11_364P2	4	121433460	0.3062
ID_595_RP11_436F9	2	68778878	0.1022
ID_596_RP11_452G23	16	48726941	-0.0344
ID_597_RP11_3O20	8	129338051	0.0376
ID_598_RP11_11F23	18	40830645	-0.0488
ID_599_RP11_13H10	5	4389560	0.0302
ID_600_RP11_24P18	4	130550247	-0.1668
ID_601_RP11_27P2	14	48426623	-0.1924
ID_602_RP11_86O17	6	20078785	-0.0944
ID_603_RP11_127B1	12	18485161	-0.0694
ID_604_RP11_190J23	2	143109298	0.0292
ID_605_RP11_214M24	Y	23024292	0.3159
ID_606_RP11_55C6	4	44905573	-0.3094
ID_607_RP11_56P22	3	35039688	-0.1941
ID_608_RP11_58E21	14	50071941	0.0549
ID_609_RP11_62E9	8	80925252	-0.1591
ID_610_RP11_62P16	2	150121466	-0.0834
ID_611_RP11_64M20	4	150391074	-0.0188
ID_612_RP11_70A24	11	44262126	0.0322
ID_613_RP11_71F18	7	19488840	-0.0401
ID_614_RP11_71J24	2	222010825	-0.0331
ID_615_RP11_78A19	18	11780770	0.0286
ID_616_RP11_79E3	4	34034468	-0.1758
ID_617_RP11_80H18	3	58277437	-0.0674
ID_618_RP11_21K20	12	1808158	0.2532
ID_619_RP11_34K3	2	200135693	0.1259
ID_620_RP11_47L3	17	35253621	-0.0811
ID_621_RP11_111G20	7	45326491	0.1966
ID_622_RP11_114H21	5	136552254	-0.1488
ID_623_RP11_121A13	17	20327260	-0.2138
ID_624_RP11_260E18	5	16649884	0.0282
ID_625_RP11_293B1	12	77674674	-0.0761
ID_626_RP11_313P13	7	72862465	0.2199
ID_627_RP11_384A20	7	121966432	-0.0418
ID_628_RP11_402H20	X	154980474	-0.0398
ID_629_RP11_437L1	7	129787542	0.4042
ID_630_RP11_17H6	3	102928477	-0.2398
ID_631_RP11_17M8	8	136765040	-0.1904
ID_632_RP11_19A8	2	48935211	0.0692
ID_633_RP11_21C11	3	178381768	-0.0278
ID_634_RP11_21H5	5	16403285	-0.1514
ID_635_RP11_21L17	2	153939360	-0.0201
ID_636_RP11_23N2	15	52530126	-0.2328
ID_637_RP11_24C13	4	127405357	-0.1434
ID_638_RP11_24I5	2	44277465	0.0042
ID_639_RP11_149P12	2	195337586	-0.0441
ID_640_RP11_152A18	12	49579022	-0.0114
ID_641_RP11_152O18	2	55670324	0.0376
ID_642_RP11_159L20	14	30702808	-0.0988
ID_643_RP11_163H6	3	172064061	-0.1641
ID_644_RP11_164K24	15	31207847	-0.1028
ID_645_RP11_168E17	1	102595514	-0.1291
ID_646_RP11_168L7	14	101415135	-0.0121
ID_647_RP11_169M2	15	62727153	-0.2131
ID_648_RP11_178C3	17	59992120	0.0832
ID_649_RP11_179B7	11	104508353	-0.3441
ID_650_RP11_180N14	3	21382722	1.5722
ID_651_RP11_285P21	14	78025310	0.1569
ID_652_RP11_288C18	2	36855137	0.1742
ID_653_RP11_289K3	2	135249247	-0.0361
ID_654_RP11_296N8	X	154991799	0.0546
ID_655_RP11_298A18	3	188624842	-0.2791
ID_656_RP11_299C5	2	42345641	0.1272
ID_657_RP11_304A15	2	68861665	0.0742
ID_658_RP11_305L22	3	15679951	-0.1601
ID_659_RP11_309J20	11	4869168	-0.0961
ID_660_RP11_315L6	15	97259908	-0.4561
ID_661_RP11_316A10	3	14870119	0.0912
ID_662_RP11_319N5	2	50306554	-0.1231
ID_668_RP11_160A13	3	143032035	0.6249
ID_671_RP11_204L3	1	39578095	0.0429
ID_672_RP11_322N21	1	46130053	0.0222
ID_673_RP11_253A20	1	51488563	-0.2174
ID_674_RP11_427B20	1	88443594	-0.1604
ID_675_RP11_14O19	1	95358811	-0.1824
ID_676_RP11_17C2	1	98522421	-0.1234
ID_677_RP11_533N14	1	147589939	-0.0891
ID_678_RP11_216N14	1	153790668	0.0659
ID_679_RP11_172I6	1	156070935	0.1416
ID_680_RP11_71D4	1	182735126	0.0082
ID_681_RP11_336D15	1	189140386	-0.1948
ID_682_RP11_142L4	1	192097301	-0.1448
ID_683_RP4_719C8	20	59650650	-0.0778
ID_684_RP4_764O22	20	7132825	-0.3098
ID_685_RP4_796I11	20	41281340	-0.1778
ID_686_RP5_1137F22	20	33577254	-0.2348
ID_687_RP1_167O22	20	21610198	-0.2218
ID_688_RP5_1161H23	20	34927263	-0.1044
ID_689_RP11_80O7	22	23977752	0.0849
ID_690_CTA_992D9	22	27093167	-0.1118
ID_691_CTA_150C2	22	38984784	-0.0524
ID_692_RP11_555F9	9	90472001	-0.1988
ID_693_RP11_760M1	13	23504497	0.0099
ID_694_RP11_204H22	20	10561814	-0.2108
ID_695_RP11_284B18	X	64298945	-0.1484
ID_696_RP11_390O24	X	145183871	-0.0024
ID_697_RP11_469E19	X	41105572	0.1299
ID_698_RP11_89E16	3	140062208	-0.1271
ID_699_RP11_89K22	14	25092798	-0.0954
ID_700_RP11_90J19	15	47142905	-0.3288
ID_701_RP11_93M11	11	73087316	-0.0411
ID_702_RP11_94E2	18	33047982	0.2079
ID_703_RP11_95J15	7	46637780	0.0832
ID_704_RP11_101A9	12	106152420	0.1026
ID_705_RP11_103N21	3	29926374	-0.3151
ID_706_RP11_105C20	16	59586859	-0.1504
ID_707_RP11_108O10	11	111809715	-0.4008
ID_708_RP11_110C16	4	102003745	-0.3684
ID_709_RP11_111J6	2	18533683	0.0572
ID_710_RP11_385M4	1	209185627	-0.1101
ID_711_RP11_323K10	1	214900225	-0.2264
ID_712_RP11_392O17	1	219328420	-0.1414
ID_713_RP11_433N10	1	238431933	-0.1938
ID_714_RP11_411G13	1	243187710	-0.1934
ID_715_RP11_438H8	1	247867496	0.0119
ID_716_RP11_479G22	10	32944862	-0.2778
ID_717_RP11_534N5	10	45713951	-0.1401
ID_718_RP11_556E13	10	52577181	-0.1101
ID_719_RP11_328K22	10	77307463	-0.0471
ID_720_RP11_557N21	2	23699713	0.2802
ID_721_RP11_560C24	2	212681106	0.0966
ID_722_RP11_561E1	8	24460765	-0.4441
ID_723_RP11_569A20	11	106791946	-0.3904
ID_724_RP11_570N16	15	27217301	-0.2701
ID_725_RP11_572C15	3	112670958	-0.0721
ID_726_RP11_397E9	3	139160043	0.0109
ID_727_RP11_132H24	21	24267842	-0.2104
ID_728_RP11_223J2	6	86127393	0.0839
ID_729_RP11_21G12	6	92382676	-0.3148
ID_730_RP11_35D6	6	107692816	-0.3618
ID_731_RP11_204E9	6	21497086	-0.1948
ID_732_RP11_255M9	6	52402767	-0.0158
ID_733_RP11_289M23	6	23483533	-0.0474
ID_734_RP11_409K15	6	67517515	-0.1298
ID_735_RP11_472M19	6	56864290	0.0979
ID_736_RP11_524H19	6	54842727	-0.1478
ID_737_RP1_93L7	X	85810336	0.0119
ID_738_RP1_169I5	X	41430517	0.1972
ID_739_RP1_199L16	X	96139625	-0.1274
ID_740_RP3_411B6	X	76863748	-0.1368
ID_741_RP3_463A9	X	130761418	-0.1308
ID_742_RP4_545K15	X	101612923	0.0186
ID_743_RP5_1147O16	X	32485268	-0.1344
ID_744_RP5_979N1	22	41356274	0.0366
ID_745_RP1_172B20	22	39726320	-0.0508
ID_746_RP4_684F13	10	81887073	-0.0981
ID_747_RP1_137D17	6	169390146	0.1232
ID_748_RP1_160B9	6	69221029	-0.4128
ID_749_RP1_244F1	6	104029339	-0.3601
ID_750_RP3_402H5	6	47860732	-0.0874
ID_751_RP3_444C7	6	20586707	-0.1288
ID_752_RP3_472A9	6	75859372	-0.3601
ID_753_RP1_40C9	6	65073769	0.0109
ID_754_RP1_90K10	6	36916254	0.2692
ID_755_RP1_265C24	6	28117422	0.0196
ID_756_RP11_31J20	9	104819701	-0.1258
ID_757_RP11_48M17	9	2226362	0.0172
ID_758_RP11_66D1	9	81220448	-0.3084
ID_759_RP11_132E11	9	17077728	-0.0198
ID_760_RP11_147I11	9	1056151	-0.1421
ID_761_RP11_165P4	9	121138455	-0.0981
ID_762_RP11_274B18	9	68598929	-0.1508
ID_763_RP11_287A8	9	105468360	-0.2021
ID_764_RP11_342F21	9	102508573	0.4132
ID_765_RP11_422N19	9	76327383	-0.1751
ID_766_RP11_438P9	9	107515816	-0.0644
ID_767_RP11_451E16	9	118371655	-0.3878
ID_768_RP11_115H23	2	197773223	-0.0868
ID_769_RP11_116K4	18	54098834	0.0176
ID_770_RP11_118L16	11	83724481	-0.2381
ID_771_RP11_123C5	16	69051005	0.0439
ID_772_RP11_125F12	4	130039964	0.0732
ID_773_RP11_126P21	11	67267732	0.1912
ID_774_RP11_134J10	14	43831915	-0.1168
ID_775_RP11_136K18	2	14760427	0.1206
ID_776_RP11_138J2	8	27456495	-0.4184
ID_777_RP11_145F16	3	150393170	-0.2271
ID_778_RP11_147K16	17	3470226	0.0336
ID_779_RP11_148L24	4	174257146	-0.1621
ID_780_RP11_12J5	19	45966424	0.0089
ID_781_RP11_15A14	5	39288438	-0.0474
ID_782_RP11_16D24	2	7688377	0.1622
ID_783_RP11_24O11	5	88897924	-0.1468
ID_784_RP11_28I21	1	83477305	-0.2808
ID_785_RP11_32D12	5	9467991	-0.1234
ID_786_RP11_74E23	16	29721837	0.0636
ID_787_RP11_92L12	2	209676721	0.5246
ID_788_RP11_97L2	5	74486119	-0.1631
ID_789_RP11_125G9	12	20843668	-0.2524
ID_790_RP11_137P5	5	5540439	-0.1598
ID_791_RP11_142A12	2	78527220	0.2179
ID_792_RP11_95C14	13	91918028	-0.2114
ID_793_RP11_110K8	13	21600119	0.0709
ID_794_RP11_118F16	13	100946826	-0.1161
ID_795_RP11_218E6	13	29451015	0.0172
ID_796_RP11_235O20	13	96770306	-0.2028
ID_797_RP11_265C7	13	113118194	0.0656
ID_798_RP11_370A2	13	68785576	-0.0611
ID_799_RP11_388D4	13	89938346	-0.1554
ID_800_RP11_406G20	13	105922599	0.2169
ID_801_RP11_521L15	13	67937525	-0.3121
ID_802_RP11_550P23	13	30509561	-0.0974
ID_803_RP11_564N10	13	101962681	-0.2881
ID_804_RP11_312C1	7	152852408	0.2546
ID_805_RP11_355I13	2	136507381	0.3102
ID_806_RP11_356D23	5	81996654	-0.0581
ID_807_RP11_481J2	16	58454568	0.1132
ID_808_RP11_500A9	12	60327649	-0.1124
ID_809_RP11_525L23	17	82554154	0.3002
ID_810_RP11_17L8	2	20063451	0.2742
ID_811_RP11_20O22	5	171718553	0.1699
ID_812_RP11_28L18	11	74459701	-0.1831
ID_813_RP11_66M18	9	1424533	0.2202
ID_814_RP11_141F2	15	54560177	-0.0698
ID_815_RP11_150C16	12	59061378	0.1212
ID_816_RP11_174I14	7	88611163	0.0412
ID_817_RP11_242D9	4	97588006	-0.0048
ID_818_RP11_248B13	12	21325977	-0.1778
ID_819_RP11_59H1	12	12816269	0.1959
ID_820_RP11_59L22	2	192422860	-0.1071
ID_821_RP11_61F4	14	77884808	0.0346
ID_822_RP11_66E7	14	65565282	-0.2704
ID_823_RP11_67I10	16	26269289	-0.1918
ID_824_RP11_69K20	3	30345039	-0.2364
ID_825_RP11_73I6	4	93856159	0.0422
ID_826_RP11_75N20	4	108817520	-0.1441
ID_827_RP11_77A13	2	119020534	0.1109
ID_828_RP11_83E23	11	93440308	-0.1961
ID_829_RP11_84C16	19	44822706	0.3046
ID_830_RP11_86C13	3	846635	-0.0931
ID_831_RP11_64B12	2	56290982	0.1129
ID_832_RP11_81K2	17	49416007	0.1969
ID_833_RP11_94C24	17	50519737	0.0779
ID_834_RP11_172O13	7	5768739	0.3312
ID_835_RP11_202G24	12	77674673	-0.0714
ID_836_RP11_232C20	7	26742913	0.1382
ID_837_RP11_323F16	X	7705448	-0.0434
ID_838_RP11_343J14	7	78930884	0.0246
ID_839_RP11_374M7	7	116977556	0.1922
ID_840_RP11_466I1	11	29184212	-0.1471
ID_841_RP11_493L12	12	47278269	-0.1941
ID_842_RP11_511M9	5	166471625	-0.2514
ID_843_RP11_15O17	4	125296627	-0.1784
ID_844_RP11_16I17	4	93610461	-0.1111
ID_845_RP11_16M12	3	78348533	-0.1421
ID_846_RP11_19F13	4	48907148	-0.1474
ID_847_RP11_20B7	3	73808598	-0.1291
ID_848_RP11_20P9	8	107005637	-0.1128
ID_849_RP11_24O13	2	131510391	0.1072
ID_850_RP11_25C10	3	12489041	-0.0501
ID_851_RP11_25I9	11	108933846	-0.3474
ID_852_RP11_154H12	18	79758998	0.2522
ID_853_RP11_156A14	7	68522076	0.1839
ID_854_RP11_157E8	2	176555815	0.0132
ID_855_RP11_165B2	3	13864694	0.1812
ID_856_RP11_166D19	11	122045598	-0.1531
ID_857_RP11_167K17	3	6828972	-0.3054
ID_858_RP11_171N4	4	156612203	-0.0708
ID_859_RP11_174B22	4	103340006	-0.3118
ID_860_RP11_176K15	4	84103581	-0.1404
ID_861_RP11_183E24	15	98134366	-0.2518
ID_862_RP11_187P2	11	81105884	-0.2154
ID_863_RP11_292A20	2	4833395	-0.0228
ID_864_RP11_294I20	2	88941585	0.0512
ID_865_RP11_296E7	6	80110569	-0.4091
ID_866_RP11_299N3	3	2257606	-0.3248
ID_867_RP11_301L8	4	185578124	-0.1718
ID_868_RP11_302L6	7	37496632	0.1706
ID_869_RP11_310I24	12	29597485	0.1809
ID_870_RP11_313P18	15	51628717	-0.3934
ID_871_RP11_321A2	3	126816933	-0.0414
ID_872_RP11_323F24	15	56932735	-0.2331
ID_873_RP11_324H4	3	117038675	-0.2368
ID_874_RP11_141C22	3	169254767	-0.1078
ID_884_RP11_13E1	10	48166352	-0.0814
ID_885_RP11_16P8	10	126575001	-0.0668
ID_886_RP11_29A19	10	1256329	-0.0178
ID_887_RP11_113E21	10	85531905	-0.0421
ID_888_RP11_129O7	10	24894976	0.0632
ID_889_RP11_162K11	10	94099403	-0.1351
ID_890_RP11_219F10	10	83907872	-0.1134
ID_891_RP11_287G8	10	100037233	1.2716
ID_892_RP11_338L11	10	115122999	-0.1614
ID_893_RP11_348J12	10	93071172	0.1362
ID_894_RP11_357A18	10	59465299	-0.1091
ID_895_RP11_506D12	17	50843657	0.0642
ID_896_RP11_507B10	4	60358486	-0.3404
ID_897_RP11_510C1	2	130789898	0.0852
ID_898_RP11_518I8	16	5552522	0.0692
ID_899_RP11_520K18	18	61136507	-0.0921
ID_900_RP11_522N9	3	72412550	-0.1488
ID_901_RP11_528G9	2	110145973	0.0142
ID_902_RP11_530J6	2	199457699	0.0112
ID_903_RP11_533D19	16	89938398	0.1166
ID_904_RP11_540N15	15	67002997	-0.0734
ID_905_RP11_542B15	12	67483891	-0.0124
ID_906_RP11_543P15	12	3202931	0.7139
ID_907_RP3_438L4	1	7120795	0.0389
ID_908_RP4_539L13	1	11568455	0.1026
ID_909_RP4_540O3	1	18997985	0.1126
ID_910_RP5_1013G21	1	50163150	-0.0441
ID_911_RP5_1070D5	1	55499729	-0.1258
ID_912_RP4_537F10	1	64017056	-0.1364
ID_913_RP4_612B15	1	86807897	-0.3358
ID_914_RP5_1033H22	1	93601147	0.0049
ID_915_RP5_1077K16	1	107088293	-0.1234
ID_916_RP1_127D3	1	171168981	-0.0754
ID_917_RP3_423N22	1	176968799	-0.0698
ID_918_RP1_61P15	1	194124953	-0.1681
ID_919_RP1_29O12	5	14488185	-0.2481
ID_920_RP1_62O9	17	49264397	0.0682
ID_921_RP1_85M6	11	33070914	-0.0721
ID_922_RP1_305I20	12	110300647	0.1042
ID_923_RP3_405J10	12	50289822	-0.1864
ID_924_RP3_461F17	8	3032133	-0.3091
ID_925_RP4_604G5	7	99982919	0.2749
ID_926_RP4_650P9	7	85961288	-0.0234
ID_927_RP4_718N17	7	51628426	0.1196
ID_928_RP5_859D17	11	29448490	-0.1968
ID_929_RP5_886O8	7	139911820	0.2456
ID_930_RP5_902E20	7	124212640	-0.0078
ID_931_RP11_460M2	2	49327556	0.0129
ID_932_RP11_463C5	5	83324920	-0.1288
ID_933_RP11_465I24	11	47977599	0.1586
ID_934_RP11_478H3	12	105887728	0.2226
ID_935_RP11_478P5	17	74369135	0.1466
ID_936_RP11_480B17	3	121258540	-0.0934
ID_937_RP11_485A5	11	123981291	-0.1474
ID_938_RP11_486O13	14	70160677	-0.0298
ID_939_RP11_489N6	12	16030195	-0.1871
ID_940_RP11_497D24	2	237678538	-0.0231
ID_941_RP11_501O2	3	148112659	-0.2328
ID_942_RP11_401O9	17	10310287	0.0449
ID_943_RP11_414C23	Y	3003453	-0.2871
ID_944_RP11_419C10	14	29790759	-0.1938
ID_945_RP11_450O3	7	73119188	0.2199
ID_946_RP11_463C8	14	77117627	0.1772
ID_947_RP11_481E16	5	147038184	-0.1438
ID_948_RP11_518I12	7	158167736	0.4152
ID_949_RP11_528K12	5	103727646	-0.1811
ID_950_RP11_538D20	11	41948638	-0.2158
ID_951_CTB_28J9	5	136280427	-0.0164
ID_952_CTB_54G2	5	127554807	-0.2191
ID_953_CTB_87L24	5	176512930	0.0866
ID_954_CTC_263A14	5	155058248	0.6382
ID_955_CTC_325L16	19	32467778	0.5192
ID_956_CTC_359D24	19	12111196	0.2559
ID_957_CTC_483I11	19	47146641	0.2826
ID_958_CTC_536A23	5	66071859	-0.1718
ID_959_CTD_2007F2	5	38217633	-0.1244
ID_960_CTD_2291F22	5	35415041	-0.1841
ID_961_CTD_2332G20	5	142565524	0.0196
ID_962_CTD_2525J15	19	36922238	0.0132
ID_963_RP11_239F20	12	91543687	-0.1174
ID_964_RP11_240J11	4	97767965	-0.3294
ID_965_RP11_252K11	3	196180770	0.0196
ID_966_RP11_255E13	8	16496026	-0.5314
ID_967_RP11_256L11	12	109347668	0.1602
ID_968_RP11_263F19	4	82125539	-0.1764
ID_969_RP11_264D7	3	167452919	-0.0981
ID_970_RP11_266L10	2	155052387	-0.1314
ID_971_RP11_25N12	4	165688320	-0.2864
ID_972_RP11_26L4	X	26959475	0.1679
ID_973_RP11_26O20	12	84570102	0.1059
ID_974_RP11_30J7	11	76764733	-0.0861
ID_975_RP11_32C20	2	130026662	-0.1948
ID_976_RP11_34J15	5	62414673	0.0869
ID_977_RP11_38E12	15	30319973	-0.1438
ID_978_RP11_41A3	2	197870188	-0.0681
ID_979_RP11_44F24	12	121432414	0.2209
ID_980_RP11_46D5	11	119436388	0.0376
ID_981_RP11_47G2	3	192631821	-0.2464
ID_982_RP11_48D4	8	76876840	-0.2284
ID_983_RP11_1E1	4	77129375	-0.2101
ID_984_RP11_1K11	8	4831013	-0.3208
ID_985_RP11_2A4	3	137769085	-0.0844
ID_986_RP11_3D4	15	33809444	-0.1854
ID_987_RP11_3J1	4	19187072	-0.1238
ID_988_RP11_3P22	7	69231818	0.2489
ID_989_RP11_6K5	11	20311458	-0.1424
ID_990_RP11_7O2	16	55308421	-0.0328
ID_991_RP11_8H2	18	46150651	0.0506
ID_992_RP11_10N17	11	125191921	-0.1081
ID_993_RP11_11G4	12	70119139	-0.0878
ID_994_RP11_11M4	12	89262619	0.0516
ID_995_RP11_15E1	9	64536972	-0.2668
ID_996_RP11_100E23	11	54603029	-0.2624
ID_997_RP11_118K6	10	3052544	0.0882
ID_998_RP11_397D12	9	37369810	-0.0138
ID_999_RP11_429K17	16	20314741	0.0012
ID_1000_RP11_626G11	16	19039967	0.0112
ID_1001_RP11_365H22	4	51882912	0.0412
ID_1002_RP11_368A17	2	112674077	0.1199
ID_1003_RP11_369E15	8	20893535	-0.5468
ID_1004_RP11_379J13	11	97839629	-0.1471
ID_1005_RP11_380D23	4	110620655	-0.0018
ID_1006_RP11_382L10	3	83636463	-0.0474
ID_1007_RP11_391H5	1	231804845	-0.0471
ID_1008_RP11_394B2	16	70673296	0.1402
ID_1009_RP11_395B14	2	39516091	0.0122
ID_1010_RP11_402J7	3	111639765	-0.1218
ID_1011_RP11_405F3	16	57664029	0.1449
ID_1012_RP11_406E22	4	23376148	-0.1898
ID_1013_RP11_148A10	7	104575535	0.1869
ID_1014_RP11_155F12	X	2616082	-0.3898
ID_1015_RP11_165M1	16	12428384	0.1652
ID_1016_RP11_214N9	2	9623012	0.2862
ID_1017_RP11_227F6	8	61416851	-0.1504
ID_1018_RP11_243A18	1	53656201	0.1456
ID_1019_RP11_274J22	5	41710021	-0.1838
ID_1020_RP11_292P9	Y	13846039	0.0052
ID_1021_RP11_298P6	8	86632194	-0.1764
ID_1022_RP11_338B22	8	627988	-0.0488
ID_1023_RP11_346L24	14	49428834	-0.0424
ID_1024_RP11_353N19	14	91939619	-0.0098
ID_1025_RP11_415C15	4	27136300	-0.2061
ID_1026_RP11_416K7	17	47526878	-0.0468
ID_1027_RP11_418P19	5	101445561	-0.0251
ID_1028_RP11_422E4	7	154483283	0.1092
ID_1029_RP11_424K7	16	51114806	-0.0384
ID_1030_RP11_425D6	3	81518088	-0.2718
ID_1031_RP11_435E3	12	95300980	0.0319
ID_1032_RP11_436K12	2	47613743	0.1432
ID_1033_RP11_438E5	4	79325313	-0.1321
ID_1034_RP11_444B24	12	68156268	0.0556
ID_1035_RP11_446H10	8	67288722	-0.1168
ID_1036_RP11_447J13	3	86046654	-0.2398
ID_1037_RP4_592P18	5	51826549	-0.1968
ID_1038_RP3_470L14	20	49106103	-0.1054
ID_1039_RP4_808O4	X	67510583	-0.1558
ID_1040_RP5_1000E10	7	130231301	0.1102
ID_1041_RP5_960D23	2	47755067	0.0132
ID_1042_RP11_534J17	2	233445985	-0.0118
ID_1043_RP11_548D17	2	83468655	-0.1294
ID_1044_RP11_598K3	11	70783240	0.0282
ID_1045_RP11_685N10	11	94467042	-0.1521
ID_1046_RP11_729C24	5	132533430	0.0916
ID_1047_CTB_1011K1	2	70797097	0.1639
ID_1048_CTB_1058E17	17	38698395	0.1702
ID_1049_CTB_1187M2	17	19442340	0.0806
ID_1050_CTD_2639E6	19	48871443	0.3172
ID_1051_RP11_22A3	4	12887793	-0.1634
ID_1052_RP11_22F19	8	32020245	-0.1054
ID_1053_RP11_274A17	16	33919871	0.3059
ID_1054_RP11_277K23	11	38614896	-0.1574
ID_1055_RP11_279P10	3	194416459	0.0156
ID_1056_RP11_409J21	7	71662154	0.1516
ID_1057_RP11_412A2	2	115390854	-0.1288
ID_1058_RP11_19N21	8	16629433	-0.4091
ID_1059_RP11_37E23	13	32315146	-0.0848
ID_1060_RP11_153M24	13	27942366	-0.0288
ID_1061_RP11_181K3	1	183164384	0.0172
ID_1062_RP11_196P5	1	11866344	0.1636
ID_1063_RP11_315O6	11	102455949	-0.1614
ID_1064_RP11_332H18	17	61320242	0.0586
ID_1065_RP11_354N7	16	68807262	0.1239
ID_1066_RP11_450E24	6	151866476	-0.0534
ID_1067_RP11_496I9	11	593612	0.0539
ID_1068_RP11_574M5	9	119202297	-0.2371
ID_1069_RP5_1093O17	7	85043698	-0.1194
ID_1070_RP5_1110E20	17	40895427	-0.0151
ID_1071_RP5_1136G13	7	148669602	0.1492
ID_1072_RP4_607J2	7	2439198	0.5652
ID_1073_RP4_672O11	7	103602049	0.1909
ID_1074_RP4_745K6	2	176343130	0.1552
ID_1075_RP5_1169K15	17	45307720	0.1229
ID_1076_RP11_193I17	7	131885208	0.3426
ID_1077_RP11_196E5	17	75647440	0.1622
ID_1078_RP11_198G24	3	164176901	-0.1271
ID_1079_RP11_205B19	2	175488906	-0.0448
ID_1080_RP11_206L19	11	11776850	-0.0628
ID_1081_RP11_208F13	17	9694893	0.0749
ID_1082_RP11_214N20	3	98009110	-0.0628
ID_1083_RP11_215J7	15	54654446	0.1702
ID_1084_RP11_218F10	4	163467062	-0.1984
ID_1085_RP11_227F19	4	41736825	-0.1494
ID_1086_RP11_229A12	3	57410031	0.0769
ID_1087_RP11_230B21	12	28654964	0.0309
ID_1088_RP11_325I16	11	91616916	-0.2861
ID_1089_RP11_326A19	15	89088829	-0.1668
ID_1090_RP11_327O2	11	10393597	0.0462
ID_1091_RP11_334L22	3	9128382	0.1109
ID_1092_RP11_336N6	4	165189135	-0.1948
ID_1093_RP11_339D20	4	20075390	-0.1224
ID_1094_RP11_347K3	4	188594872	-0.1474
ID_1095_RP11_349D24	3	139425535	0.1186
ID_1096_RP11_350H23	2	5802626	0.2232
ID_1097_RP11_356O9	14	37573228	-0.1804
ID_1098_RP11_359D24	3	81853697	-0.2191
ID_1099_RP11_361D15	15	59578346	-0.0524
ID_1109_RP11_267N5	20	56662229	0.0646
ID_1111_RP11_111M22	11	76367551	0.3176
ID_1112_RP11_45A17	10	132040521	0.0962
ID_1113_RP11_92H8	10	91279770	0.0162
ID_1114_RP11_165O3	10	20992650	0.0642
ID_1115_RP11_168C9	10	129309339	-0.1134
ID_1116_RP11_189M8	10	10036659	0.0126
ID_1117_RP11_304I5	10	88775432	-0.1768
ID_1118_RP11_314J18	10	68944109	0.0736
ID_1119_RP11_326F3	10	72404865	-0.0274
ID_1120_RP11_371O16	10	57694039	0.0032
ID_1121_RP11_383B4	10	18611331	0.0819
ID_1122_RP11_400F15	10	130210847	-0.0201
ID_1123_RP11_510K16	3	180655061	-0.2151
ID_1124_RP11_512O7	2	219761428	0.0996
ID_1125_RP11_514J23	3	76262289	-0.1641
ID_1126_RP11_524O15	3	32634000	0.1579
ID_1127_RP11_526D2	2	105949284	0.0926
ID_1128_RP11_526N18	14	79894612	-0.1791
ID_1129_RP11_535E19	2	77032269	-0.0124
ID_1130_RP11_538P16	17	62523977	-0.0044
ID_1131_RP11_547F10	2	98122690	0.0819
ID_1132_RP11_548L8	12	55142557	-0.0418
ID_1133_RP11_549H5	2	100058617	0.1142
ID_1134_RP1_144C9	1	27414914	0.0069
ID_1135_RP5_893G23	1	29410015	0.0572
ID_1136_RP4_783C10	1	37813165	0.2376
ID_1137_RP5_1033K19	1	68423141	-0.3288
ID_1138_RP4_716B13	1	73456820	0.0006
ID_1139_RP5_1037B23	1	114137908	0.0519
ID_1140_RP4_610L12	1	119076429	-0.2418
ID_1141_RP1_13P20	1	152773112	0.0036
ID_1142_RP5_940F7	1	235973561	0.0459
ID_1143_RP1_144M5	8	34595300	0.0832
ID_1144_RP1_186K10	5	137614795	-0.0374
ID_1145_RP1_247F3	5	131252093	-0.1651
ID_1146_RP3_491L6	8	60881094	0.0136
ID_1147_RP4_548D19	7	151232983	0.4469
ID_1148_RP4_562A11	7	77573255	0.1466
ID_1149_RP4_800G7	7	149216484	0.4169
ID_1150_RP5_819O4	7	145661182	-0.0701
ID_1151_RP5_906A24	17	39157626	0.0859
ID_1152_RP5_959C21	5	97109169	-0.0111
ID_1153_RP5_986F12	17	37719037	0.2236
ID_1154_RP11_467O15	16	62601221	-0.1991
ID_1155_RP11_469N6	11	134695153	-0.0594
ID_1156_RP11_474M18	3	84492418	-0.1374
ID_1157_RP11_482J6	11	89460985	-0.0488
ID_1158_RP11_484D18	3	176948489	-0.2954
ID_1159_RP11_491D6	3	36945649	-0.0701
ID_1160_RP11_494C5	5	153541450	0.0479
ID_1161_RP11_495D4	8	125717016	0.1079
ID_1162_RP11_502N13	12	14565624	-0.0751
ID_1163_RP11_503L23	4	151916707	-0.1641
ID_1164_RP11_504I1	14	84633130	-0.0301
ID_1165_RP11_429O1	17	52504467	-0.1744
ID_1166_RP11_432A10	5	62769516	-0.0511
ID_1167_RP11_437L22	16	81636924	0.1822
